Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
broken_generic_manor_39e122f8	doctor	Where did you learn all of this?	game/scripts/broken/broken_generic_choices.rpy	242	doctor "[what]"
broken_generic_manor_e011688b	broken	Because I was raised in a house a bit like this one.	game/scripts/broken/broken_generic_choices.rpy	248	broken "[what]"
broken_generic_manor_77c50972	broken	I started as a bootboy when I was a wee lad, but quickly rose in rank to become a footman.	game/scripts/broken/broken_generic_choices.rpy	248	broken "[what]"
broken_generic_manor_0ec85ab5	broken	Then the war happened and everything changed.	game/scripts/broken/broken_generic_choices.rpy	248	broken "[what]"
broken_generic_manor_offended_afceae43	doctor	I understand that you did not want to keep doing this after the war.	game/scripts/broken/broken_generic_choices.rpy	269	doctor "[what]"
broken_generic_manor_offended_51771da3	doctor	It must have seemed too trivial to keep being a servant after such a horrific experience.	game/scripts/broken/broken_generic_choices.rpy	269	doctor "[what]"
broken_generic_manor_offended_993fb50e	broken	Not really.	game/scripts/broken/broken_generic_choices.rpy	275	broken "[what]"
broken_generic_manor_offended_a14f7985	broken	I do not think there is anything wrong with being a servant.	game/scripts/broken/broken_generic_choices.rpy	275	broken "[what]"
broken_generic_manor_offended_6660fc1b	broken	I would have loved to keep doing this job.	game/scripts/broken/broken_generic_choices.rpy	275	broken "[what]"
broken_generic_manor_offended_666eb89c	broken	I even hoped to be a butler someday.	game/scripts/broken/broken_generic_choices.rpy	275	broken "[what]"
broken_generic_manor_offended_e5f2632e	broken	But it turns out a footman has to fit certain characteristics.	game/scripts/broken/broken_generic_choices.rpy	275	broken "[what]"
broken_generic_manor_offended_290a17a7	broken	For instance, they have to be tall.	game/scripts/broken/broken_generic_choices.rpy	275	broken "[what]"
broken_generic_manor_offended_ef87fe1c	broken	I am not sure why, but it is a matter of pride for them to have the tallest servants possible.	game/scripts/broken/broken_generic_choices.rpy	275	broken "[what]"
broken_generic_manor_offended_70e7697c	broken	It is all part of us being seen as part of the "image" of their property.	game/scripts/broken/broken_generic_choices.rpy	275	broken "[what]"
broken_generic_manor_offended_29fab326	broken	As you can guess, when I returned from the war, I was not considered "footman" material and was relegated to grunt work.	game/scripts/broken/broken_generic_choices.rpy	275	broken "[what]"
broken_generic_manor_offended_4e75eec1	broken	I decided it was better to leave.	game/scripts/broken/broken_generic_choices.rpy	275	broken "[what]"
broken_generic_manor_offended_53750688	broken	But it is not easy talking about it.	game/scripts/broken/broken_generic_choices.rpy	275	broken "[what]"
broken_generic_manor_offended_4cd6206f	doctor	I am sorry, I did not mean to offend you.	game/scripts/broken/broken_generic_choices.rpy	299	doctor "[what]"
broken_generic_manor_offended_09c6a011	broken	It is all right.	game/scripts/broken/broken_generic_choices.rpy	303	broken "[what]"
broken_generic_manor_offended_64de9747		In any case, I realise now he is the tallest man in the room.	game/scripts/broken/broken_generic_choices.rpy	309	"[what]"
broken_generic_manor_offended_d6f78394		Only the footman seems to be about the same height as he is.	game/scripts/broken/broken_generic_choices.rpy	309	"[what]"
broken_generic_manor_not_offended_f96ea99a	broken	Really?	game/scripts/broken/broken_generic_choices.rpy	322	broken "[what]"
broken_generic_manor_not_offended_17b5edb8	broken	That is quite a unique perspective.	game/scripts/broken/broken_generic_choices.rpy	322	broken "[what]"
broken_generic_manor_not_offended_1b6fb283	broken	How refreshing.	game/scripts/broken/broken_generic_choices.rpy	322	broken "[what]"
broken_generic_age_77f8a2ea	broken	27 years old.	game/scripts/broken/broken_generic_choices.rpy	335	broken "[what]"
broken_generic_age_0a67e4d6	broken	I know it is hard to guess, considering.	game/scripts/broken/broken_generic_choices.rpy	335	broken "[what]"
broken_generic_age_099931da	doctor	I am sorry, I did not want to imply anything.	game/scripts/broken/broken_generic_choices.rpy	341	doctor "[what]"
broken_generic_age_0194c8e8	broken	Do not worry about it.	game/scripts/broken/broken_generic_choices.rpy	345	broken "[what]"
broken_generic_room_02c64465	broken	My room is named "Richard the Third".	game/scripts/broken/broken_generic_choices.rpy	358	broken "[what]"
broken_generic_room_40de77ed	broken	I must admit I do not know much about him.	game/scripts/broken/broken_generic_choices.rpy	358	broken "[what]"
broken_generic_room_offended_a51c3956	broken	Really? What did you learn about him?	game/scripts/broken/broken_generic_choices.rpy	377	broken "[what]"
broken_generic_room_offended_8a07fdae	doctor	From what I remember, Shakespeare paints him as a man twisted both in body and in soul.	game/scripts/broken/broken_generic_choices.rpy	381	doctor "[what]"
broken_generic_room_offended_589d8062	doctor	The most impressive thing about the play was how the actor managed to convey Richard's deformity.	game/scripts/broken/broken_generic_choices.rpy	381	doctor "[what]"
broken_generic_room_offended_71c90a81	doctor	His crooked posture, the twisted arm, the limp — all brought vividly to life upon the stage.	game/scripts/broken/broken_generic_choices.rpy	381	doctor "[what]"
broken_generic_room_offended_8c80c810	doctor	It left no doubt in one's mind that he was meant to be both pitied and feared.	game/scripts/broken/broken_generic_choices.rpy	381	doctor "[what]"
broken_generic_room_offended_98c89988		I see Thomas Moody's gaze harden and quickly stop talking.	game/scripts/broken/broken_generic_choices.rpy	391	"[what]"
broken_generic_room_offended_c4035c87		I didn't realise who I was talking to.	game/scripts/broken/broken_generic_choices.rpy	391	"[what]"
broken_introduction_d0f6ae8c		I am looking at my brother, lifeless on his bed.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_78cc0cf9		His injuries had the best of him in the end.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_0935940e		The mask that was suppose to help him live a normal live is next to him.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_fc8132ee		He won't have to wear it anymore.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_e525f88b		That's not so bad, he couldn't bare the look of the people around him.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_fdbc0f5d		After dedicated his youth to the army he ends up alone in his apartment.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_9f25cc4a		To scared to go out most of the time.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_8b5e55de		The loneliness might have been the cause of death as much the failings of his aching body.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_902a5e3c		I search about his place and found nothing that was not a necessity.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_b03781a0		On his desk is a picture of us when we were teens, the caption reads: Thomas and Archie spring 1892).	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_c88c86a7		We were inseparable back then, two brothers who were also best friends.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_1bc7138c		Next to the picture sits a letter.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_1230f004		Well he won't might me reading it now.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_644cae76		I pick it up.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	20	"[what]"
broken_introduction_54914e0b	letter	5th September, [current_year]	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	50	letter "[what]"
broken_introduction_bdfe8568	letter	Dear Mr Moody,	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	50	letter "[what]"
broken_introduction_041e4064	letter	I am pleased to announce that you have been selected as one of the recipients of the "Exceptional Act of Bravery Award".	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	50	letter "[what]"
broken_introduction_f88efe81		I am still not sure what I am doing here.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	68	"[what]"
broken_introduction_80086045		In my hand rest my brother's mask.	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	68	"[what]"
broken_introduction_a20cefa7		...	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	68	"[what]"
broken_introduction_574f44ae	broken	test	game/scripts/broken/Day 1/1_Afternoon/1_main.rpy	76	broken "[what]"
captain_ending_strangled_c4a7fb15		You pressed your hostess at the wrong moment, in the wrong place.	game/scripts/captain/captain_endings.rpy	12	"[what]"
captain_ending_strangled_0978077e		You felt safe with your gun next to you.	game/scripts/captain/captain_endings.rpy	12	"[what]"
captain_ending_strangled_f4fecc57		But a rifle is a poor weapon when the threat comes silently from behind.	game/scripts/captain/captain_endings.rpy	12	"[what]"
captain_ending_strangled_b38c6b6a		Next time you want to confront someone, choose your ground wisely.	game/scripts/captain/captain_endings.rpy	12	"[what]"
captain_ending_shot_in_woods_4c7f55da		You were led into the woods by a man who suspected of wishing you harm.	game/scripts/captain/captain_endings.rpy	32	"[what]"
captain_ending_shot_in_woods_d22bd07e		You knew the danger, yet good manners compelled you to proceed regardless.	game/scripts/captain/captain_endings.rpy	32	"[what]"
captain_ending_shot_in_woods_828e8834		It is curious how the fear of causing a scene is sometimes stronger than any other.	game/scripts/captain/captain_endings.rpy	32	"[what]"
captain_generic_weather_friday_8018a0d2	captain	I can see that a storm is coming.	game/scripts/captain/captain_generic_choices.rpy	18	captain "[what]"
captain_generic_weather_friday_bf773979	captain	And it looks like a big one.	game/scripts/captain/captain_generic_choices.rpy	18	captain "[what]"
captain_generic_weather_saturday_ee9e5c34	captain	The little storm we had yesterday seems to have worn off.	game/scripts/captain/captain_generic_choices.rpy	28	captain "[what]"
captain_generic_weather_saturday_55b5f900	captain	The weather should improve from now on.	game/scripts/captain/captain_generic_choices.rpy	28	captain "[what]"
captain_generic_weather_sunday_7d95538e	captain	(Placeholder for Sunday weather dialogue)	game/scripts/captain/captain_generic_choices.rpy	39	captain "[what]"
captain_generic_room_322bdc11	captain	The 'George I' Bedroom.	game/scripts/captain/captain_generic_choices.rpy	47	captain "[what]"
captain_generic_room_e61476ab	captain	The most remarkable thing about 'George I' is that ...	game/scripts/captain/captain_generic_choices.rpy	53	captain "[what]"
captain_generic_room_13bd856c	psychic	He was a foreigner, yes.	game/scripts/captain/captain_generic_choices.rpy	57	psychic "[what]"
captain_generic_room_f1b551de	psychic	As the first King of the house of Hanover, he was born in Germany and had a very limited grasp of English.	game/scripts/captain/captain_generic_choices.rpy	57	psychic "[what]"
captain_generic_room_5be340dc	captain	Well, I was going to say his reign marked the beginning of the gradual transformation of the British monarchy into a more constitutional one,	game/scripts/captain/captain_generic_choices.rpy	63	captain "[what]"
captain_generic_room_ac5f35ed	captain	with real political power shifting towards Parliament and ministers.	game/scripts/captain/captain_generic_choices.rpy	63	captain "[what]"
captain_generic_room_5484fc80	captain	But I guess you're right too.	game/scripts/captain/captain_generic_choices.rpy	63	captain "[what]"
captain_generic_origin_psychic_1_a2259021	captain	I come directly from London.	game/scripts/captain/captain_generic_choices.rpy	78	captain "[what]"
captain_generic_origin_psychic_1_618f0390	captain	I have been living there for the last two decades.	game/scripts/captain/captain_generic_choices.rpy	78	captain "[what]"
captain_generic_origin_psychic_1_e98109b0	psychic	London.	game/scripts/captain/captain_generic_choices.rpy	86	psychic "[what]"
captain_generic_origin_psychic_1_2647918a	psychic	Right.	game/scripts/captain/captain_generic_choices.rpy	86	psychic "[what]"
captain_generic_origin_psychic_1_8960b560	psychic	But that's not what I meant.	game/scripts/captain/captain_generic_choices.rpy	86	psychic "[what]"
captain_generic_origin_psychic_1_a6673bc7	captain	I am sorry, what did you mean?	game/scripts/captain/captain_generic_choices.rpy	94	captain "[what]"
captain_generic_origin_psychic_2_ec03c888	captain	Oh ... I was raised in Calcutta.	game/scripts/captain/captain_generic_choices.rpy	105	captain "[what]"
captain_generic_origin_psychic_2_fa6bd432	captain	But I've been living in England for so long that I don't even think about it anymore.	game/scripts/captain/captain_generic_choices.rpy	105	captain "[what]"
captain_generic_origin_psychic_2_36834ad8	psychic	Alright. Calcutta is in the far east, right?	game/scripts/captain/captain_generic_choices.rpy	111	psychic "[what]"
captain_generic_origin_psychic_2_8a38ef20	captain	Yes, it's in North India.	game/scripts/captain/captain_generic_choices.rpy	115	captain "[what]"
captain_generic_origin_psychic_2_f76468e2	captain	I was born there.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_cbbf22a0	captain	My noble lineage ensured I received an excellent education, far superior to most in the region.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_bfbb7792	captain	Growing up, I was always fascinated by the stories of the Raj army and their brave officers.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_f304eefc	captain	I knew from a young age that I wanted to join the army and serve my country.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_e3069fd2	captain	As I grew older, I began to prepare myself for the rigorous training that would be required to become an officer in the Raj army.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_bcaba3c1	captain	I studied hard and practiced my shooting and horseback riding skills.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_ea9447ad	captain	I also learned about the history of India and the British Raj, so that I could understand the context of the conflicts that the army was involved in.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_54e5ba8a	captain	Finally, in 1890, I was accepted into the Raj army as a cadet.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_6d6ddda4	captain	The training was grueling, but I was determined to succeed.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_7bcd310c	captain	I was taught how to march, how to shoot, and how to lead my men in battle.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_4993ca85	captain	I also learned about strategy and tactics, so that I could make quick decisions in the heat of battle.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_0b836221	captain	After two years of training, I was finally commissioned as an officer.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_df1d399c	captain	I was assigned to a regiment and sent to the frontier, where I would be fighting against the tribes that were trying to rebel against the British Raj.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_e2fd4c17	captain	It was a difficult and dangerous assignment, but I was determined to do my best.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_7482a564	captain	I led my men into battle and fought bravely, always thinking of the safety and well-being of my men.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_a5b103bb	captain	I was able to successfully quell the rebellion, and my men and I returned home as heroes.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_58d70a4a	captain	I continued to serve in the Raj army for many years, rising through the ranks and taking on more responsibility.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_e7a16a77	captain	As the years went by, I was increasingly exposed to the ways of the British army and began to adopt their techniques and strategies.	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_85ec09e8	captain	I was eventually sent to London to train new officers, ...	game/scripts/captain/captain_generic_choices.rpy	119	captain "[what]"
captain_generic_origin_psychic_2_47640804		My god, he is going to tell me his whole life story.	game/scripts/captain/captain_generic_choices.rpy	161	"[what]"
captain_generic_origin_psychic_2_1b9587c9		How rude.	game/scripts/captain/captain_generic_choices.rpy	161	"[what]"
captain_generic_origin_psychic_2_54726f0c		And there is no way to avoid him here.	game/scripts/captain/captain_generic_choices.rpy	161	"[what]"
captain_generic_origin_psychic_2_82dc35ec		So I nod in assent and barely listen to what he is saying.	game/scripts/captain/captain_generic_choices.rpy	161	"[what]"
captain_generic_background_psychic_47774692		Wait, why am I encouraging him?	game/scripts/captain/captain_generic_choices.rpy	181	"[what]"
captain_generic_background_psychic_564538ac	captain	Oh, I thought I already said plenty in the car.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_f2dca49e	captain	But, if you insist of course.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_cdf1d292	captain	Where did we stop last time?	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_1aae2919	captain	Ah yes, I was telling you about the time I was sent to London.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_d05af1e4	captain	My mission there was to train new officers, a duty I regarded as both an honour and a burden.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_6a29c791	captain	The young men were eager, full of fire, but they had little understanding of what it truly meant to lead others into danger.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_4a92c273	captain	It was my task to temper their enthusiasm with discipline, to teach them not merely how to fight, but how to think, how to endure, and how to carry the weight of command.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_36e54733	captain	In those years I saw the very best and the very worst of human nature.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_9c3816be	captain	Some rose splendidly to the challenge, others faltered and fell away.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_287c3248	captain	But I gave them all that I could, for I knew that the fate of many would one day rest upon their shoulders, just as it had once rested upon mine.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_0a60fac0	captain	When at last my service came to its end, I retired with a measure of pride, though also with a heavy heart.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_67bdebeb	captain	For the army had been my life, my purpose, and leaving it behind was no easy thing.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_015884d8	captain	Still, I hold no regrets. I served faithfully, and I did my duty, as any officer ought.	game/scripts/captain/captain_generic_choices.rpy	185	captain "[what]"
captain_generic_background_psychic_3b687249		All right, I think I have heard his whole life story now.	game/scripts/captain/captain_generic_choices.rpy	213	"[what]"
captain_generic_heroic_act_psychic_bedb8fce	captain	It is most likely because of my actions during the Great War.	game/scripts/captain/captain_generic_choices.rpy	224	captain "[what]"
captain_generic_heroic_act_psychic_49c1e846	captain	In particular, those in 1917, during the Mesopotamian campaign.	game/scripts/captain/captain_generic_choices.rpy	224	captain "[what]"
captain_generic_heroic_act_psychic_fac9ff57	captain	Our regiment was tasked with taking control of a heavily fortified Turkish position.	game/scripts/captain/captain_generic_choices.rpy	224	captain "[what]"
captain_generic_heroic_act_psychic_dc98ad02	captain	The battle was intense and brutal, with heavy gunfire and explosions all around us.	game/scripts/captain/captain_generic_choices.rpy	224	captain "[what]"
captain_generic_heroic_act_psychic_991cd961	captain	I led my men through the chaos, urging them forward and providing cover fire.	game/scripts/captain/captain_generic_choices.rpy	224	captain "[what]"
captain_generic_heroic_act_psychic_c62c8adf	captain	Despite the danger, we were able to push through the enemy lines and take control of the position.	game/scripts/captain/captain_generic_choices.rpy	224	captain "[what]"
captain_generic_heroic_act_psychic_7b228db4	captain	I was severely injured in the battle, but I refused to be taken off the field until the objective was secured.	game/scripts/captain/captain_generic_choices.rpy	224	captain "[what]"
captain_generic_heroic_act_psychic_a812b963	captain	My actions, bravery and leadership inspired my men and led to the success of our mission.	game/scripts/captain/captain_generic_choices.rpy	224	captain "[what]"
captain_generic_heroic_act_psychic_41ba9263	captain	For my actions, I was awarded the Military Cross, one of the highest honors that can be given to an officer of the British army.	game/scripts/captain/captain_generic_choices.rpy	224	captain "[what]"
captain_generic_heroic_act_psychic_783115db	captain	I was proud to have served my country and to have played a role in the ultimate victory of the Great War.	game/scripts/captain/captain_generic_choices.rpy	224	captain "[what]"
captain_generic_heroic_act_psychic_36358427		Well, he certainly likes to tell a story in full.	game/scripts/captain/captain_generic_choices.rpy	246	"[what]"
captain_generic_heroic_act_psychic_9a24ff7d		That's my fault for asking.	game/scripts/captain/captain_generic_choices.rpy	246	"[what]"
captain_generic_manor_psychic_b951793e	captain	It's a splendid house.	game/scripts/captain/captain_generic_choices.rpy	259	captain "[what]"
captain_generic_manor_psychic_d2d27182	captain	A bit old, and it could use some renovations.	game/scripts/captain/captain_generic_choices.rpy	259	captain "[what]"
captain_generic_manor_psychic_c82deed5	captain	But I know it is no easy task.	game/scripts/captain/captain_generic_choices.rpy	259	captain "[what]"
captain_generic_manor_psychic_183d66ce	captain	I have seen my fair share of grand buildings and stately homes, and I can confidently say that renovating an old Victorian mansion is no easy feat.	game/scripts/captain/captain_generic_choices.rpy	268	captain "[what]"
captain_generic_manor_psychic_9ac8668d	captain	The challenge lies in balancing the preservation of the building's historical integrity with the necessary updates and modernizations for contemporary living.	game/scripts/captain/captain_generic_choices.rpy	268	captain "[what]"
captain_generic_manor_psychic_90277ade	captain	One issue that often arises is the cost of renovations.	game/scripts/captain/captain_generic_choices.rpy	268	captain "[what]"
captain_generic_manor_psychic_4d1cc68e	captain	Victorian mansions were built with materials and techniques that are not always easily replicated today, making repairs and replacements quite expensive.	game/scripts/captain/captain_generic_choices.rpy	268	captain "[what]"
captain_generic_manor_psychic_6fd333ac	captain	Additionally, many of these homes have unique architectural features that require specialized skills and knowledge to maintain.	game/scripts/captain/captain_generic_choices.rpy	268	captain "[what]"
captain_generic_manor_psychic_9578fc1f	captain	Another obstacle to overcome is the potential for structural issues.	game/scripts/captain/captain_generic_choices.rpy	268	captain "[what]"
captain_generic_manor_psychic_3e5e67d8	captain	Victorian mansions are often quite old, and over time, they can suffer from wear and tear.	game/scripts/captain/captain_generic_choices.rpy	268	captain "[what]"
captain_generic_manor_psychic_20cbe9f8	captain	This means that any renovation work will need to be done with an eye towards ensuring the building's stability and safety.	game/scripts/captain/captain_generic_choices.rpy	268	captain "[what]"
captain_generic_manor_psychic_55e84e4a	captain	Personally, I believe that renovating an old Victorian mansion is a noble endeavor.	game/scripts/captain/captain_generic_choices.rpy	268	captain "[what]"
